100 0.0154921s
120 0.0253271s
140 0.0404627s
160 0.0567834s
180 0.0822466s
200 0.111621s
220 0.151397s
240 0.193169s
260 0.263023s
280 0.308308s
300 0.3815s
320 0.444349s
340 0.540084s
360 0.650785s
380 0.772231s
400 0.836141s
420 0.991216s
440 1.18256s
460 1.34964s
480 1.52667s
500 1.70919s
