0 0.970004 -0.243088 -0.970004 0.243088 0 0
0.0669677 0.99859 -0.213547 -0.935987 0.27125 -0.0626032 -0.0577031
0.131341 1.02139 -0.184342 -0.897726 0.296348 -0.123666 -0.112005
0.193288 1.03939 -0.155799 -0.855433 0.317872 -0.183957 -0.162072
0.252804 1.05334 -0.128152 -0.809578 0.335239 -0.243761 -0.207087
0.309884 1.06387 -0.101535 -0.760827 0.347939 -0.303042 -0.246404
0.364629 1.07151 -0.0759677 -0.709921 0.355616 -0.361589 -0.279648
0.417291 1.0767 -0.0513636 -0.657549 0.358094 -0.419154 -0.30673
0.468268 1.07979 -0.0275478 -0.604258 0.355332 -0.475529 -0.327785
0.518062 1.081 -0.00428731 -0.55042 0.347361 -0.530576 -0.343074
0.567233 1.08045 0.0186815 -0.496251 0.334221 -0.584204 -0.352903
0.616356 1.07819 0.0416304 -0.441852 0.315933 -0.636336 -0.357563
0.665993 1.07411 0.0648221 -0.387249 0.292489 -0.686864 -0.357311
0.716663 1.06805 0.0884935 -0.332431 0.263881 -0.735619 -0.352374
0.768808 1.05972 0.112836 -0.277376 0.230144 -0.782342 -0.34298
0.822758 1.04874 0.137966 -0.222063 0.191429 -0.826675 -0.329395
0.878666 1.03466 0.163886 -0.166485 0.148085 -0.868177 -0.311971
0.93647 1.017 0.190442 -0.110635 0.100746 -0.906362 -0.291189
0.99587 0.995269 0.217293 -0.05449 0.0503634 -0.940779 -0.267657
1.05636 0.969086 0.243902 0.00201272 -0.00182022 -0.971098 -0.242082
1.11731 0.938206 0.269561 0.0589664 -0.0543622 -0.997173 -0.215199
1.17803 0.902598 0.293434 0.116449 -0.10574 -1.01905 -0.187694
1.23788 0.862482 0.314632 0.174451 -0.154477 -1.03693 -0.160155
1.2963 0.818342 0.332299 0.232818 -0.199263 -1.05116 -0.133036
1.35292 0.770872 0.345712 0.29125 -0.239072 -1.06212 -0.106641
1.40756 0.720868 0.354355 0.349367 -0.273237 -1.07024 -0.0811176
1.46031 0.669094 0.357932 0.406791 -0.301461 -1.07588 -0.0564714
1.51141 0.616177 0.356327 0.463217 -0.323737 -1.07939 -0.0325893
1.56131 0.562566 0.349529 0.518436 -0.340252 -1.081 -0.00927709
1.6105 0.508536 0.337565 0.572313 -0.351272 -1.08085 0.013707
1.65955 0.454228 0.320453 0.624749 -0.357077 -1.07898 0.0366242
1.709 0.399694 0.298188 0.675632 -0.357923 -1.07533 0.0597347
1.75939 0.344938 0.270757 0.7248 -0.354036 -1.06974 0.0832792
1.81117 0.289941 0.23818 0.77201 -0.34564 -1.06195 0.10746
1.86469 0.234686 0.200573 0.816925 -0.332985 -1.05161 0.132412
1.92016 0.179163 0.158235 0.859117 -0.316401 -1.03828 0.158166
1.97757 0.123368 0.111729 0.898104 -0.296337 -1.02147 0.184608
2.03666 0.0672842 0.0619323 0.933419 -0.273372 -1.0007 0.21144
2.09697 0.0108584 0.0100296 0.964698 -0.248198 -0.975556 0.238168
2.15789 -0.0459984 -0.0425724 0.991747 -0.221548 -0.945749 0.26412
2.21875 -0.103375 -0.0943593 1.01457 -0.194124 -0.911195 0.288484
2.27887 -0.161287 -0.143832 1.03334 -0.166542 -0.872057 0.310374
2.33769 -0.219618 -0.189632 1.04838 -0.139286 -0.828758 0.328918
