7.43867 0.917341 0.597189
7.48195 0.939318 0.418375
7.52501 0.953493 0.240062
7.5676 0.959969 0.0643053
7.60961 0.959053 -0.107542
7.65103 0.951126 -0.2747
7.69193 0.936567 -0.436708
7.73237 0.915726 -0.593188
7.77241 0.888942 -0.743679
7.81207 0.856575 -0.887561
7.85132 0.81904 -1.02407
7.8901 0.776817 -1.15237
7.92833 0.730455 -1.27163
7.96594 0.680541 -1.38113
8.00288 0.627672 -1.48031
8.0391 0.572424 -1.56879
8.0746 0.515326 -1.64639
8.1094 0.456843 -1.71308
8.14354 0.397374 -1.76894
8.17708 0.337249 -1.81415
8.2101 0.276741 -1.84893
8.24269 0.216068 -1.87351
8.27492 0.155412 -1.88811
8.30691 0.0949199 -1.89295
8.33874 0.0347193 -1.8882
8.37051 -0.0250778 -1.87401
8.40234 -0.0843665 -1.85047
8.43432 -0.143042 -1.81765
8.46656 -0.200995 -1.77555
8.49918 -0.258103 -1.72413
8.5323 -0.314223 -1.66333
8.56605 -0.369189 -1.59303
8.60055 -0.422791 -1.51305
8.63594 -0.474775 -1.42324
8.67237 -0.524816 -1.32341
8.70995 -0.572507 -1.21343
8.7488 -0.617337 -1.09328
8.78899 -0.658675 -0.963212
8.83049 -0.69577 -0.823839
8.87316 -0.727792 -0.67638
8.91673 -0.753922 -0.522723
8.9608 -0.773494 -0.365344
9.00493 -0.78612 -0.206952
9.04874 -0.791744 -0.050047
9.09195 -0.790582 0.103412
9.13445 -0.783017 0.252075
9.17621 -0.76949 0.395062
9.21726 -0.750451 0.531766
9.25764 -0.72634 0.661684
9.29737 -0.697596 0.784336
9.33647 -0.664663 0.899247
9.37493 -0.627998 1.00596
9.41276 -0.588061 1.10408
9.44996 -0.545309 1.19327
9.48653 -0.500183 1.27331
9.52249 -0.453096 1.34406
9.55788 -0.404424 1.40547
9.59273 -0.354508 1.45756
9.62711 -0.303643 1.5004
9.66107 -0.252092 1.5341
9.69468 -0.20008 1.55878
9.72803 -0.147806 1.57458
9.7612 -0.0954434 1.58161
9.79427 -0.0431493 1.57998
9.82732 0.00893191 1.56978
9.86046 0.0606627 1.55107
9.89377 0.111908 1.52389
9.92737 0.162527 1.48824
9.96135 0.212374 1.44409
9.99583 0.261284 1.39139
10.0309 0.309072 1.33003
10.0668 0.355522 1.25991
10.1035 0.400377 1.18087
10.1413 0.443325 1.09278
10.1802 0.483986 0.995527
10.2204 0.521892 0.889087
10.262 0.556475 0.773631
10.305 0.587061 0.649672
10.3492 0.6129 0.518256
10.3944 0.633244 0.38112
10.4402 0.647482 0.240666
10.4861 0.655279 0.0996487
10.5315 0.656642 -0.0393224
10.5762 0.651862 -0.174178
10.6199 0.641395 -0.303495
10.6627 0.625757 -0.426373
10.7046 0.605463 -0.542246
10.7456 0.581002 -0.650728
10.7857 0.552837 -0.751528
10.8251 0.521406 -0.844418
10.8637 0.487123 -0.92922
10.9017 0.45038 -1.0058
10.939 0.411541 -1.07408
10.9757 0.370945 -1.13403
11.012 0.328899 -1.18565
11.0478 0.285686 -1.22896
11.0831 0.241558 -1.26404
11.1182 0.196743 -1.29096
11.153 0.151446 -1.3098
11.1877 0.105856 -1.32063
11.2222 0.0601441 -1.32352
11.2568 0.014472 -1.31854
11.2914 -0.0310054 -1.30573
11.3262 -0.0761363 -1.28512
11.3613 -0.120767 -1.25669
11.3968 -0.164738 -1.22044
11.4328 -0.207877 -1.17631
11.4694 -0.249996 -1.12422
11.5067 -0.290882 -1.06408
11.545 -0.330286 -0.995754
11.5843 -0.367916 -0.919116
11.6248 -0.403421 -0.834042
11.6666 -0.436374 -0.740468
11.7099 -0.466252 -0.638475
11.7547 -0.49243 -0.528435
11.8011 -0.514196 -0.411229
11.8485 -0.530816 -0.288472
11.8967 -0.541682 -0.162574
11.945 -0.546476 -0.0364302
11.9927 -0.545257 0.0871771
12.0394 -0.53839 0.206079
12.085 -0.526411 0.318855
12.1294 -0.509896 0.424688
12.1726 -0.489398 0.523144
12.2147 -0.465421 0.614007
12.2559 -0.438417 0.697172
12.2961 -0.408793 0.772598
12.3356 -0.376916 0.840276
12.3745 -0.343118 0.900221
12.4127 -0.307702 0.952467
12.4503 -0.270943 0.997061
12.4876 -0.23309 1.03406
12.5245 -0.194371 1.06352
12.5611 -0.154997 1.08551
12.5976 -0.115159 1.10009
12.6339 -0.0750397 1.10731
12.6702 -0.0348078 1.10722
12.7066 0.00537235 1.09984
12.7432 0.0453401 1.08521
12.78 0.0849343 1.0633
12.8172 0.123989 1.03412
12.8549 0.16233 0.9976
12.8933 0.199769 0.953685
12.9324 0.236094 0.902278
12.9725 0.271068 0.843259
13.0136 0.304411 0.776492
