1000 3.092 0.0529862 0.0495927
1151 3.13814 0.0484749 0.00345191
1325 3.14566 0.0450364 0.00406772
1526 3.1114 0.0425651 0.0301903
1757 3.15538 0.0389467 0.0137858
2023 3.11419 0.0369271 0.0274058
2329 3.11894 0.0343497 0.0226575
2682 3.17077 0.0313106 0.0291754
3088 3.12306 0.0297808 0.0185357
3556 3.12486 0.0277315 0.0167333
4094 3.13337 0.0257543 0.00822675
4714 3.12516 0.0240827 0.0164336
5428 3.12822 0.0224146 0.0133686
6250 3.16672 0.0205476 0.0251273
7196 3.16898 0.0191302 0.0273901
8286 3.10789 0.0182923 0.0336998
9540 3.13501 0.0168597 0.00658217
10985 3.1432 0.0156576 0.00160261
12648 3.14516 0.0145798 0.00356864
14563 3.13974 0.0136187 0.00185496
16768 3.13597 0.0127119 0.00561937
19306 3.15156 0.0117687 0.00996645
22229 3.14256 0.0110099 0.000968865
25595 3.14577 0.0102464 0.004178
29470 3.13906 0.00957628 0.00253599
33932 3.12366 0.00898181 0.0179336
39069 3.13302 0.00833815 0.00857159
44984 3.13231 0.00777293 0.00927894
51794 3.14623 0.00720154 0.0046405
59636 3.13428 0.00674533 0.00731135
68664 3.13305 0.00628949 0.00853894
79060 3.13534 0.0058558 0.00625241
91029 3.14041 0.00544565 0.00118685
104811 3.14093 0.00507388 0.000662789
120679 3.14616 0.00471804 0.00457196
138949 3.14337 0.00440217 0.0017765
159985 3.13662 0.00411427 0.0049736
184206 3.14261 0.00382457 0.00101942
212095 3.13392 0.00357732 0.00767625
244205 3.1402 0.00332507 0.00139487
281176 3.1426 0.00309562 0.00100842
323745 3.14136 0.00288644 0.000231397
372759 3.14116 0.00269021 0.000431743
429193 3.1437 0.00250442 0.00211193
494171 3.13914 0.00233848 0.00245256
568986 3.14164 0.00217701 5.23078e-05
655128 3.14594 0.00202515 0.00434524
754312 3.14189 0.00189057 0.000295584
868511 3.13742 0.00176521 0.0041678
1000000 3.14171 0.0016421 0.000119346
