1000 3.144 0.008 0.00240735
1151 3.14335 0.0173762 0.00176095
1325 3.14415 0.0150943 0.00255829
1526 3.14286 0.0209699 0.00126449
1757 3.1383 0.0341491 0.00328873
2023 3.14286 0.00988631 0.00126449
2329 3.13954 0.0103049 0.00204778
2682 3.14094 0.0059657 0.000653056
3088 3.1399 0 0.00169628
3556 3.14061 0 0.00098523
4094 3.14216 0.00195408 0.000566604
4714 3.14298 0.00509122 0.00138571
5428 3.14186 0.00221076 0.000264384
6250 3.14112 0.00256 0.000472654
7196 3.14147 0.000555864 0.000125172
8286 3.14241 0.00144823 0.000816229
9540 3.14151 0.00377358 8.32196e-05
10985 3.14228 0.0010924 0.00069228
12648 3.142 0.00253004 0.000406081
14563 3.1418 0.000274669 0.000205053
16768 3.1411 0.000715649 0.000490554
19306 3.1413 0.00186471 0.000289432
22229 3.14211 0.000179945 0.000519002
25595 3.14311 0.00281305 0.00152124
29470 3.14184 0.000135731 0.000246505
33932 3.14152 0.000117883 7.43228e-05
39069 3.14162 0.00102383 2.85806e-05
44984 3.14121 0.00160057 0.000386892
51794 3.14125 0.0023941 0.000340771
59636 3.14132 0.00107318 0.000268621
68664 3.14103 0 0.00055805
79060 3.14129 5.05945e-05 0.000307554
91029 3.14139 0.00021971 0.000198153
104811 3.14145 0.000343475 0.000147576
120679 3.14166 0.000729207 6.41384e-05
138949 3.1416 0.00106514 6.06249e-06
159985 3.14146 0.000375035 0.000135642
184206 3.14161 0.000521156 2.05403e-05
212095 3.14181 0.000848676 0.000216441
244205 3.14159 6.55187e-05 2.59606e-06
281176 3.14164 4.26779e-05 4.81692e-05
323745 3.14151 0.000172976 8.31322e-05
372759 3.14155 2.14616e-05 4.54341e-05
429193 3.14148 0.00048463 0.000115509
494171 3.14159 4.04718e-05 4.01322e-06
568986 3.1416 3.51502e-05 6.61247e-06
655128 3.14161 0.000207593 1.63144e-05
754312 3.14158 6.36341e-05 1.72842e-05
868511 3.14158 0.000340813 8.95459e-06
1000000 3.1415 9.6e-05 8.86536e-05
