-1 0.353227 0.355778 0.192498 0.171385 -9.47359 -11.2801 0.234206 0.234353
-0.979798 0.354979 0.356906 -0.0219491 -0.0613973 -10.3236 -11.7536 0.241367 0.24156
-0.959596 0.352231 0.353238 -0.252562 -0.302992 -11.0726 -12.1503 0.248519 0.248742
-0.939394 0.344682 0.344615 -0.496912 -0.551713 -11.7009 -12.4569 0.255567 0.255799
-0.919192 0.33208 0.330912 -0.752172 -0.805604 -12.1899 -12.6598 0.262411 0.262631
-0.89899 0.314239 0.312046 -1.01514 -1.06243 -12.5222 -12.7453 0.268949 0.269134
-0.878788 0.291036 0.287983 -1.28228 -1.31969 -12.6824 -12.7002 0.275072 0.275204
-0.858586 0.262427 0.258741 -1.54975 -1.5746 -12.6569 -12.5118 0.280671 0.280735
-0.838384 0.228445 0.224398 -1.81348 -1.82417 -12.435 -12.1684 0.285639 0.285624
-0.818182 0.189209 0.185095 -2.06919 -2.06515 -12.0088 -11.66 0.289866 0.289768
-0.79798 0.144925 0.141039 -2.3125 -2.29411 -11.3736 -10.9781 0.293249 0.29307
-0.777778 0.0958884 0.0925085 -2.53896 -2.5075 -10.5282 -10.1167 0.29569 0.295437
-0.757576 0.042484 0.0398555 -2.74417 -2.70163 -9.4753 -9.07236 0.297094 0.29678
-0.737374 -0.0148151 -0.0164939 -2.92383 -2.87282 -8.22121 -7.84475 0.29738 0.297022
-0.717172 -0.0754506 -0.0760388 -3.07381 -3.01738 -6.77631 -6.43694 0.296473 0.296092
-0.69697 -0.138784 -0.138205 -3.19029 -3.13173 -5.15489 -4.85573 0.294313 0.293932
-0.676768 -0.204102 -0.202347 -3.26978 -3.21247 -3.37505 -3.11189 0.290852 0.290495
-0.656566 -0.270626 -0.267754 -3.30923 -3.25647 -1.4586 -1.22027 0.286059 0.285748
-0.636364 -0.337521 -0.333655 -3.30609 -3.26091 0.569261 0.8001 0.279916 0.279673
-0.616162 -0.403906 -0.399226 -3.2584 -3.22343 2.68022 2.92607 0.272425 0.272269
-0.59596 -0.468865 -0.4636 -3.16483 -3.14216 4.84329 5.13052 0.263606 0.263551
-0.575758 -0.531464 -0.525878 -3.02473 -3.01581 7.02528 7.38266 0.253497 0.253552
-0.555556 -0.590763 -0.585143 -2.83818 -2.84378 9.19134 9.6484 0.242155 0.242324
-0.535354 -0.645831 -0.640471 -2.60603 -2.62613 11.3056 11.8909 0.229656 0.229937
-0.515152 -0.695761 -0.690948 -2.32987 -2.36375 13.3316 14.0712 0.216095 0.216479
-0.494949 -0.739686 -0.735685 -2.01207 -2.05829 15.2335 16.1491 0.201585 0.202058
-0.474747 -0.776797 -0.773837 -1.65577 -1.71223 16.976 18.0835 0.186255 0.186799
-0.454545 -0.806352 -0.804615 -1.2648 -1.32888 18.5256 19.834 0.17025 0.170842
-0.434343 -0.827697 -0.827306 -0.843717 -0.912357 19.8512 21.3615 0.15373 0.154343
-0.414141 -0.840274 -0.841287 -0.397668 -0.467541 20.9246 22.6291 0.136867 0.137474
-0.393939 -0.843635 -0.846044 0.067631 -2.79311e-05 21.7211 23.6032 0.119842 0.120414
-0.373737 -0.837453 -0.841178 0.545995 0.483947 22.2205 24.2544 0.102845 0.103355
-0.353535 -0.821531 -0.826425 1.03086 0.977609 22.4068 24.5586 0.086071 0.0864938
-0.333333 -0.795804 -0.801662 1.51539 1.47375 22.2693 24.4975 0.0697179 0.0700316
-0.313131 -0.760352 -0.766913 1.99259 1.96486 21.8028 24.0594 0.0539829 0.0541707
-0.292929 -0.715393 -0.722359 2.45541 2.44328 21.0074 23.2398 0.0390606 0.0391112
