0.2 0.324722 -0.115538 0.0666603 0.0718393
0.4 0.532417 -0.186014 0.106947 0.115019
0.6 0.654716 -0.221142 0.126311 0.135315
0.8 0.715651 -0.22899 0.129385 0.137712
1 0.733367 -0.216224 0.120084 0.126483
1.2 0.721461 -0.188317 0.1017 0.105268
1.4 0.690033 -0.149733 0.0769804 0.0771466
1.6 0.646504 -0.104087 0.0481974 0.0446977
1.8 0.596258 -0.0542755 0.0172146 0.010061
2 0.543127 -0.00259261 -0.0144581 -0.0250123
2.2 0.489783 0.0491681 -0.0456156 -0.0591114
2.4 0.438029 0.0996313 -0.0753133 -0.0911233
2.6 0.389023 0.147767 -0.102829 -0.120194
2.8 0.343455 0.192831 -0.127629 -0.145692
3 0.301677 0.234308 -0.14934 -0.167182
3.2 0.263804 0.271874 -0.167719 -0.184389
3.4 0.229784 0.305356 -0.182637 -0.19718
3.6 0.199459 0.334699 -0.194055 -0.20554
3.8 0.172602 0.359942 -0.202006 -0.209549
4 0.148947 0.381198 -0.206586 -0.209366
4.2 0.128213 0.398633 -0.207935 -0.205217
4.4 0.110114 0.412451 -0.206231 -0.197375
4.6 0.0943755 0.422885 -0.201677 -0.186152
4.8 0.0807333 0.430182 -0.194494 -0.171887
5 0.0689432 0.4346 -0.184919 -0.154939
5.2 0.0587807 0.436401 -0.173191 -0.135675
5.4 0.050042 0.43584 -0.159555 -0.114466
5.6 0.0425441 0.43317 -0.14425 -0.0916822
5.8 0.0361234 0.428633 -0.127515 -0.0676851
6 0.0306353 0.422459 -0.109576 -0.0428256
6.2 0.0259521 0.414867 -0.0906545 -0.0174402
6.4 0.021962 0.40606 -0.0709587 0.00815185
6.6 0.0185671 0.396227 -0.0506854 0.0336506
6.8 0.0156827 0.385544 -0.0300188 0.0587769
7 0.0132349 0.374172 -0.00912993 0.0832736
7.2 0.01116 0.362255 0.0118234 0.106906
7.4 0.00940314 0.349927 0.032697 0.129464
7.6 0.00791707 0.337306 0.0533596 0.150758
7.8 0.00666125 0.3245 0.0736934 0.170623
8 0.00560094 0.311602 0.0935928 0.188919
8.2 0.00470646 0.298697 0.112964 0.205524
8.4 0.00395248 0.285856 0.131727 0.220341
8.6 0.00331741 0.273145 0.149809 0.233291
8.8 0.00278287 0.260618 0.167151 0.244316
9 0.00233326 0.248321 0.183703 0.253378
9.2 0.00195532 0.236294 0.199423 0.260454
9.4 0.00163783 0.224569 0.214279 0.265539
9.6 0.00137127 0.213173 0.228246 0.268644
9.8 0.00114759 0.202127 0.241307 0.269794
10 0.000960001 0.191447 0.25345 0.269025
10.2 0.000802752 0.181146 0.264671 0.266386
10.4 0.000671003 0.17123 0.274971 0.26194
10.6 0.000560669 0.161706 0.284355 0.255753
10.8 0.00046831 0.152574 0.292833 0.247906
11 0.000391033 0.143834 0.30042 0.238484
11.2 0.000326399 0.135482 0.307132 0.227578
11.4 0.000272361 0.127514 0.312989 0.215287
11.6 0.0002272 0.119924 0.318016 0.201711
11.8 0.00018947 0.112702 0.322237 0.186956
12 0.000157961 0.105841 0.325678 0.171131
12.2 0.000131657 0.0993299 0.328369 0.154345
12.4 0.000109702 0.0931582 0.330339 0.13671
12.6 9.13851e-05 0.0873148 0.331619 0.118336
12.8 7.61072e-05 0.081788 0.33224 0.0993357
13 6.33674e-05 0.0765658 0.332233 0.0798191
13.2 5.27479e-05 0.0716363 0.331631 0.0598953
13.4 4.3899e-05 0.0669871 0.330466 0.0396716
13.6 3.65248e-05 0.0626062 0.328769 0.0192528
13.8 3.03836e-05 0.0584816 0.326572 -0.00125903
14 2.52692e-05 0.0546013 0.323907 -0.0217648
14.2 2.1011e-05 0.0509536 0.320804 -0.0421692
14.4 1.74678e-05 0.0475272 0.317292 -0.0623804
14.6 1.45191e-05 0.0443108 0.313402 -0.0823107
14.8 1.20661e-05 0.0412936 0.309162 -0.101877
15 1.00261e-05 0.0384651 0.304599 -0.120999
15.2 8.32944e-06 0.0358151 0.29974 -0.139604
15.4 6.91838e-06 0.0333339 0.294611 -0.157621
15.6 5.74589e-06 0.031012 0.289237 -0.174984
15.8 4.76986e-06 0.0288405 0.283641 -0.191635
16 3.96e-06 0.0268106 0.277846 -0.207517
16.2 3.28624e-06 0.0249141 0.271874 -0.222581
16.4 2.72697e-06 0.0231431 0.265745 -0.236779
16.6 2.26266e-06 0.0214901 0.259479 -0.250071
16.8 1.87733e-06 0.0199478 0.253094 -0.262422
17 1.55662e-06 0.0185096 0.246608 -0.2738
17.2 1.29207e-06 0.0171689 0.240037 -0.284177
17.4 1.07112e-06 0.0159196 0.233397 -0.293531
17.6 8.88851e-07 0.0147558 0.226702 -0.301845
17.8 7.38109e-07 0.0136723 0.219965 -0.309105
18 6.11939e-07 0.0126636 0.213199 -0.315301
18.2 5.07399e-07 0.011725 0.206415 -0.320428
18.4 4.20477e-07 0.0108518 0.199625 -0.324483
